Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
56763963,02/08/2023 09:34:13 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Emergency Response Team (ERT),After Hours Work - Illegal,,10012,693 BROADWAY,BROADWAY,,,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,02/11/2023 12:00:00 AM,02 MANHATTAN,1005357501,MANHATTAN,985792,204583,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.7282096309424,-73.99443649686185,"(40.7282096309424, -73.99443649686185)"
54511074,06/16/2022 12:41:25 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11421,89-09 84 STREET,84 STREET,,,,,ADDRESS,WOODHAVEN,,,Closed,,The Department of Buildings has made an attempt execute an access warrant at this property and was denied access. Another attempt will be made.,02/11/2023 12:00:00 AM,09 QUEENS,4089660053,QUEENS,1023443,190295,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.68890581029111,-73.85867578277455,"(40.68890581029111, -73.85867578277455)"
54743580,07/09/2022 08:56:57 AM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11412,191-11 120 AVENUE,120 AVENUE,,,,,ADDRESS,SAINT ALBANS,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/11/2023 12:00:00 AM,12 QUEENS,4126470044,QUEENS,1051412,189907,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.687672797576234,-73.75782794027938,"(40.687672797576234, -73.75782794027938)"
54767886,07/11/2022 09:29:43 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11356,128-15 11 AVENUE,11 AVENUE,,,,,ADDRESS,COLLEGE POINT,,,Closed,,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,02/11/2023 12:00:00 AM,07 QUEENS,4039780041,QUEENS,1028598,226353,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.78785157900003,-73.83984993761705,"(40.78785157900003, -73.83984993761705)"
54770192,07/11/2022 09:35:43 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11356,128-11 11 AVENUE,11 AVENUE,,,,,ADDRESS,COLLEGE POINT,,,Closed,,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,02/11/2023 12:00:00 AM,07 QUEENS,4039780042,QUEENS,1028591,226354,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.787854358851305,-73.8398752094487,"(40.787854358851305, -73.8398752094487)"
54776300,07/12/2022 07:49:17 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11356,125-01 13 AVENUE,13 AVENUE,,,,,ADDRESS,COLLEGE POINT,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/11/2023 12:00:00 AM,07 QUEENS,4040020054,QUEENS,1027781,225951,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.78675226034572,-73.84280289717852,"(40.78675226034572, -73.84280289717852)"
54781345,07/13/2022 11:36:18 AM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11413,186-16 RIDGEDALE STREET,RIDGEDALE STREET,,,,,ADDRESS,SPRINGFIELD GARDENS,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/11/2023 12:00:00 AM,12 QUEENS,4127230064,QUEENS,1052481,187251,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.68037453595035,-73.75400026601422,"(40.68037453595035, -73.75400026601422)"
54833666,07/18/2022 06:42:06 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11355,142-38 59 AVENUE,59 AVENUE,,,,,ADDRESS,FLUSHING,,,Closed,,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,02/11/2023 12:00:00 AM,07 QUEENS,4064090047,QUEENS,1033206,210182,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.74344213236507,-73.82332729152483,"(40.74344213236507, -73.82332729152483)"
54907707,07/24/2022 06:56:57 PM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,,11354,33-07 146 STREET,146 STREET,,,,,ADDRESS,FLUSHING,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,02/11/2023 12:00:00 AM,07 QUEENS,4049850019,QUEENS,1033738,219241,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.768303767572064,-73.82134073464964,"(40.768303767572064, -73.82134073464964)"
55013857,08/04/2022 11:05:03 AM,02/11/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11379,77-31 66 DRIVE,66 DRIVE,,,,,ADDRESS,MIDDLE VILLAGE,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/11/2023 12:00:00 AM,05 QUEENS,4030640025,QUEENS,1018534,199385,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.71387608356867,-73.87633061784861,"(40.71387608356867, -73.87633061784861)"
